,Name,degree_centrality,betweenness_centrality,eigenvector_centrality
0,Hillary Clinton,0.7647058823529411,0.18853608397853922,0.2844832962346965
1,Donald Trump,0.7254901960784313,0.15689953013738178,0.2789085337196424
2,Trump,0.6666666666666666,0.13824511956737023,0.26491057488836717
3,Clinton,0.6666666666666666,0.12513147769158003,0.2680194093247862
4,Obama,0.6470588235294118,0.23531790781918654,0.2573780129953419
5,Marco Rubio,0.4117647058823529,0.011736862171644779,0.22941080756665358
6,Ted Cruz,0.4117647058823529,0.011736862171644779,0.22941080756665358
7,Bush,0.39215686274509803,0.025794359566738083,0.21754665028910222
8,Jeb Bush,0.39215686274509803,0.025794359566738083,0.21754665028910222
9,Cruz,0.3529411764705882,0.004891019561096287,0.21243190162563258
10,Barack Obama,0.3333333333333333,0.00647695034907311,0.19115635387268012
11,Chris Christie,0.3333333333333333,0.004531049891663702,0.2000395184307015
12,Ben Carson,0.3137254901960784,0.005578461038819095,0.18949947271963696
13,Rubio,0.3137254901960784,0.0009170821600489119,0.20009427792480092
14,John Kasich,0.27450980392156865,0.00048801742919389975,0.18077090514222324
15,Mitt Romney,0.27450980392156865,0.006250742721330956,0.1746000700262421
16,Bernie Sanders,0.2549019607843137,0.0035913476501711794,0.15150361960139067
17,Rand Paul,0.23529411764705882,0.0009694989106753813,0.1472604239393782
18,Hillary,0.19607843137254902,0.000196078431372549,0.12751959252468006
19,Scott Walker,0.1568627450980392,0.0001232271564752383,0.10190609132761433
20,George W. Bush,0.1568627450980392,0.0,0.11180817173491699
21,Bill Clinton,0.1568627450980392,0.0,0.10299493315974911
22,Mike Huckabee,0.13725490196078433,0.0,0.08822638539499923
23,Carson,0.11764705882352941,0.0,0.07931620698615366
24,Paul Ryan,0.11764705882352941,0.0013333333333333333,0.07933831617157988
25,Hillary Clinton’s,0.09803921568627451,0.0,0.07644398503185248
26,Donald Trump’s,0.09803921568627451,0.0,0.07644398503185248
27,John McCain,0.09803921568627451,0.0,0.07644398503185248
28,Ryan,0.0784313725490196,0.0,0.05125479995177802
29,Joe Biden,0.0784313725490196,0.0,0.056528865321174335
30,Donald,0.0784313725490196,0.0,0.06190978206792343
31,Mike Pence,0.0784313725490196,0.0,0.06190978206792343
32,Clintons,0.0784313725490196,0.0,0.06190978206792343
33,Bernie,0.0784313725490196,0.0,0.055505546316456676
34,Ronald Reagan,0.0784313725490196,0.0,0.06130881966509616
35,Reagan,0.058823529411764705,0.0,0.046774616701167095
36,Romney,0.058823529411764705,0.0,0.04056930627411387
37,Mitch McConnell,0.058823529411764705,0.0023233737939620295,0.03120453607624325
38,Donald Trump's,0.058823529411764705,0.0,0.046774616701167095
39,Biden,0.058823529411764705,0.0,0.045734284796307714
40,anti-Trump,0.0392156862745098,0.0,0.030709700235544875
41,Jeb,0.0392156862745098,0.0,0.024569606178197978
42,Elizabeth Warren,0.0392156862745098,0.0,0.03120008183237864
43,Hillary Clinton's,0.0392156862745098,0.0,0.03120008183237864
44,Sanders,0.0392156862745098,0.0,0.03120008183237864
45,McConnell,0.0392156862745098,0.0,0.016296302782435945
46,Bill,0.0392156862745098,0.0,0.03120008183237864
47,John Boehner,0.0196078431372549,0.0,0.014534202963929163
48,Paul Manafort,0.0196078431372549,0.0,0.01495961486466974
49,John Kerry,0.0196078431372549,0.0,0.014534202963929163
50,Josh Earnest,0.0196078431372549,0.0,0.014534202963929163
51,Benjamin Netanyahu,0.0196078431372549,0.0,0.014534202963929163
